Samples,Pops,Long,Lat,wc2.1_30s_bio_1,TwaQ,wc2.1_30s_bio_11,wc2.1_30s_bio_12,PWQ,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,ISO,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,TweQ,wc2.1_30s_bio_9
pp34,LAR,-99.91772,27.91784,22.0208339691162,29.5833320617676,13.25,485,84,17,53.5010452270508,191,60,142,62,13.875,44.0476150512695,665.577209472656,36.9000015258789,5.40000009536743,31.5000019073486,26.5,14.0166664123535
pp5,LAR,-99.69612,27.66445,22.4166660308838,30.0499992370605,13.5833330154419,470,73,16,48.8653793334961,177,60,130,63,13.6166667938232,42.9547843933105,669.763610839844,37.2999992370605,5.59999990463257,31.6999988555908,26.9500007629395,15.6666669845581
pp6,LAR,-99.69612,27.66445,22.4166660308838,30.0499992370605,13.5833330154419,470,73,16,48.8653793334961,177,60,130,63,13.6166667938232,42.9547843933105,669.763610839844,37.2999992370605,5.59999990463257,31.6999988555908,26.9500007629395,15.6666669845581
rg000,LAR,-99.55152,27.61221,22.6708335876465,30.2333335876465,13.9499998092651,475,72,16,47.5885314941406,177,63,134,66,13.375,42.5955429077148,661.782897949219,37.5,6.09999990463257,31.3999996185303,27.1833324432373,15.9500007629395
rg12,LAR,-99.55152,27.61221,22.6708335876465,30.2333335876465,13.9499998092651,475,72,16,47.5885314941406,177,63,134,66,13.375,42.5955429077148,661.782897949219,37.5,6.09999990463257,31.3999996185303,27.1833324432373,15.9500007629395
rg1477,LAR,-99.55152,27.61221,22.6708335876465,30.2333335876465,13.9499998092651,475,72,16,47.5885314941406,177,63,134,66,13.375,42.5955429077148,661.782897949219,37.5,6.09999990463257,31.3999996185303,27.1833324432373,15.9500007629395
rg1481,LAR,-99.55152,27.61221,22.6708335876465,30.2333335876465,13.9499998092651,475,72,16,47.5885314941406,177,63,134,66,13.375,42.5955429077148,661.782897949219,37.5,6.09999990463257,31.3999996185303,27.1833324432373,15.9500007629395
rg1496,LAR,-99.55152,27.61221,22.6708335876465,30.2333335876465,13.9499998092651,475,72,16,47.5885314941406,177,63,134,66,13.375,42.5955429077148,661.782897949219,37.5,6.09999990463257,31.3999996185303,27.1833324432373,15.9500007629395
rg191,LAR,-99.55152,27.61221,22.6708335876465,30.2333335876465,13.9499998092651,475,72,16,47.5885314941406,177,63,134,66,13.375,42.5955429077148,661.782897949219,37.5,6.09999990463257,31.3999996185303,27.1833324432373,15.9500007629395
rg197,LAR,-99.55152,27.61221,22.6708335876465,30.2333335876465,13.9499998092651,475,72,16,47.5885314941406,177,63,134,66,13.375,42.5955429077148,661.782897949219,37.5,6.09999990463257,31.3999996185303,27.1833324432373,15.9500007629395
